net,length_um
net50,375.42
net84,351.63
_1433_,351.51
_0412_,347.07
_1432_,345.33
_0410_,343.18
net73,334.82
_1446_,327.91
_1098_,323.86
_1447_,321
net64,318.85
net99,314.36
net41,313.38
_0478_,312.46
net46,309.32
net72,308.77
net48,300.81
_1475_,287.37
net90,281.89
_1476_,281.13
_0454_,279.17
_0455_,278.98
net96,278.9
net66,278.48
_0479_,277.74
_0445_,274.63
net81,271.8
_0446_,266.14
net25,265.46
_0474_,264.15
_0722_,257.57
_1439_,257.57
net38,256.65
_1262_,256.29
_1413_,254.72
_0475_,253.96
_0443_,252.93
_0426_,251.12
net98,250.6
net69,249.88
_0442_,245.28
net80,245.04
_0425_,243.47
_1409_,241.09
_1407_,240.18
_1440_,240.06
net79,240.03
_1436_,239.05
net67,238.96
_0433_,237.8
_0415_,235.89
net62,234.92
_1415_,234.72
_0434_,234.41
net28,232.65
_1243_,231.58
net32,230.96
net97,227.83
_1324_,227.49
net31,226.98
_0580_,221.24
_0939_,221.08
_0339_,219.1
_1430_,216.98
net51,215.5
net58,215.32
_1205_,214.68
net74,212.04
_0338_,207.14
net29,207.12
_1281_,205.47
_0441_,204.62
_1422_,203.93
net10,203.025
_1421_,203.01
_0878_,202.71
_1204_,202.38
_0839_,200.66
_0420_,200.43
_0712_,198.38
net5,198.26
net187,198.22
_0960_,197.99
_0422_,197.86
net53,194.41
_0871_,194.14
net85,193.925
_1474_,193
net4,192.3
_0847_,192.08
_0430_,189.69
net40,189.48
_0898_,189.12
net23,189.05
net36,188.98
net34,188.78
net57,187.44
_0429_,187.36
_0741_,186.795
_0005_,186.03
_0343_,185.46
_0811_,185.06
_0450_,184.68
_0342_,183.7
_0458_,182.47
_1445_,181.67
_1061_,180.3
net54,180.3
_1438_,180.1
net3,179.68
_0004_,179.57
_0736_,179.19
_0994_,178.9
net19,178.3
net14,177.845
_1091_,177.3
_0858_,176.84
_0899_,176.26
_1282_,174.8
_0451_,174.5
_0790_,174.38
net16,173.3
_0461_,173.29
net20,172.86
net59,172.36
_0578_,171.96
_1033_,171.76
_0432_,171.42
_0738_,170.98
_1435_,170.42
net13,170.38
_1425_,169.06
_1289_,169.04
_0886_,168.36
_0947_,167.86
_0781_,167.56
_0728_,166
_0760_,165.82
_1270_,165.66
net27,165.56
net8,165.26
_1213_,164.85
_1426_,164.68
_0822_,164.3
_0821_,164.265
net11,163.72
net30,163.72
net2,163.44
_0829_,163.22
net1,162.94
_0000_,162.69
_0906_,161.92
net186,160.86
_1251_,160.81
_0879_,158.7
_0448_,158.66
_0724_,157.8
_1206_,157.35
net89,157
_1486_,156.04
net37,155.28
_0727_,154
net42,153.6
_0713_,152.99
_0001_,152.66
_1013_,151.48
net47,151.22
_1080_,148.89
_0919_,148.53
_1002_,148.12
_0416_,147.64
_0428_,147.42
_0576_,147.26
_1041_,147.13
_0705_,147.03
_1232_,146.46
_1428_,145.85
_0779_,145.8
_0481_,145.18
_0974_,144.52
net167,143.44
_0732_,143.28
_1224_,141.52
_0926_,140.7
_1304_,138.84
_1405_,137.68
_0457_,136.94
net15,136.56
_0767_,135.44
_1021_,135.02
net94,134.65
_0869_,134.2
net63,134.14
_0940_,133.5
_0769_,132.6
_0748_,132.04
po_0.regf_0.rp_rd,130.36
net35,130.28
_0421_,130.23
_0918_,130.1
_0007_,129.82
_1053_,129.68
net9,126.54
po_0.regf_0._5_\[15\],126.44
_0716_,126.3
net12,126.3
_0697_,125.86
_1398_,124.94
_0982_,124.56
_0473_,123.46
po_0.regf_0._5_\[13\],122.72
_1397_,122.36
_0419_,121.69
_0701_,120.205
_0437_,120.01
_0573_,117.82
net6,117.47
_1323_,117.22
_1464_,115.7
_0770_,114.9
_1072_,114.8
_1406_,114.68
net26,114.52
net87,113.555
_0418_,112.2
net182,111.36
net145,111.34
net70,110.76
_0002_,110.72
_1408_,110.52
_1341_,108.06
_1244_,107.68
_1417_,107.62
po_0.regf_0._5_\[12\],106.94
_0484_,106.67
_0698_,106.56
_1263_,105.74
po_0.regf_0._5_\[14\],105.64
po_0.regf_0._3_\[14\],104.88
po_0.regf_0.rf\[11\]\[1\],104.62
_1092_,104.46
net125,104.17
_0718_,103.36
_1429_,102.75
po_0.regf_0.rf\[10\]\[1\],101.915
net93,101.22
_0803_,100.9
_0696_,100.48
_1418_,98.54
_0482_,97.98
_0381_,97.06
_0830_,97
_0706_,96.8
net174,96.62
po_0.muxf_0.rf_w_data\[0\],96.5
net88,95.6
_0812_,95.28
_1337_,95.24
_0368_,95.14
_0708_,94.34
_1456_,93.8
_1420_,93.68
net156,93.47
po_0.regf_0._3_\[3\],93.44
_0804_,93.4
_0699_,90.86
po_0.regf_0._5_\[3\],90.86
_0711_,90.735
_0990_,89.9
_0348_,89.76
_0694_,89.095
net175,88.84
_0917_,88.31
net144,87.91
_1034_,87.76
po_0.regf_0._3_\[13\],86.34
_0749_,86.29
net138,85.9
_0529_,85.88
_0709_,85.585
_0006_,85.56
net112,85.32
_0547_,85.12
net170,84.92
net119,84.88
_0537_,84.81
net134,84.45
net124,84.16
_0427_,83.02
po_0.regf_0._5_\[11\],82.98
po_0.regf_0._5_\[9\],82.72
_0721_,82.3
po_0.regf_0._3_\[2\],82.2
net39,81.38
_0876_,80.84
net139,79.66
_0995_,79.62
net55,79.48
_0937_,78.7
net141,78.64
_1443_,78.08
po_0.regf_0.rf\[8\]\[1\],78.03
_0840_,77.98
_1372_,77.6
_0480_,77.16
net129,76.36
_1014_,76.24
_0961_,75.94
_0394_,75.36
_0387_,75.14
_0492_,74.5
_0780_,74.42
_0967_,74.2
net82,74.12
po_0.regf_0.w_addr\[2\],73.92
_0574_,73.8
_1338_,73.735
_1416_,73.7
_0403_,73.48
_1404_,73.28
_1459_,73.26
net158,72.94
po_0._1_\[1\],72.84
_1479_,72.76
net115,72.36
_0358_,71.82
net83,71.7
net117,71.28
net172,71.24
_0456_,70.9
net142,70.67
net184,70.66
_0553_,70.54
net132,70.48
_0003_,70.36
_1302_,70.36
_1454_,69.78
_1468_,69.78
net44,69.38
_0897_,69.12
net164,69.08
_1342_,68.9
po_0._1_\[0\],68.58
net136,68.54
_0735_,68.52
_1054_,68.45
po_0.regf_0._5_\[5\],68.3
_0958_,68.22
_0535_,68.14
_1340_,67.96
net173,67.84
net159,67.76
_0467_,67.5
_0978_,67.18
_1225_,66.9
net154,66.52
po_0.regf_0._5_\[0\],66.42
_0700_,66.32
uc_0.bc_0._54_\[0\],66.245
_0497_,64.99
_1377_,64.92
_0988_,64.74
net183,64.38
_1111_,64.28
_0739_,64.04
net76,64.04
net147,63.96
po_0.regf_0._5_\[4\],63.76
_0872_,63.72
_0493_,63.68
uc_0.bc_0._54_\[1\],62.685
po_0._1_\[4\],62.58
net135,62.47
_0530_,62.38
_0971_,62.32
net133,62.2
net21,61.9
