net,length_um
_0418_,259.9
net25,216.79
po_0.muxf_0.rf_w_data\[2\],214.545
net49,214.54
net57,212.44
net40,211.32
net20,203.42
po_0.muxf_0.rf_w_data\[1\],198.82
po_0.muxf_0.rf_w_data\[3\],197.53
net46,189.64
_0594_,188.2
net2,186.46
net38,186.08
net109,185.74
_0595_,182.62
uc_0._21_\[1\],182.3
net4,182.18
net8,181.16
po_0.muxf_0.rf_w_data\[4\],180.06
_0580_,177.91
po_0.muxf_0.rf_w_data\[5\],172.18
_0501_,171.5
_0598_,170.9
_0503_,170.46
net52,168.46
_0597_,167.89
_0529_,166.2
_0516_,165.38
uc_0._21_\[3\],162.48
_0515_,162.42
_0582_,162.34
net44,162.3
_0530_,160.77
net19,158.02
po_0.regf_0._5_\[5\],157.02
net5,154.9
_0007_,152.96
net21,152.14
net42,150.54
_0617_,148.53
po_0.regf_0._5_\[6\],147.98
_0362_,147.5
net23,145.9
net41,145.52
net64,142.4
_0801_,141.88
_0523_,140.36
_0786_,139.12
_0581_,138.63
_0616_,137.32
_0579_,131.79
_0590_,128.94
net108,128.82
net81,128.18
po_0.regf_0._5_\[4\],127.4
_0589_,126.39
_0508_,126.31
_0767_,125.6
net33,124.74
net48,124.58
_0003_,124.46
_0507_,123.6
net7,121.81
_0666_,121.435
net24,121.38
uc_0._21_\[5\],120.98
_0522_,120.96
_0768_,119.22
_0750_,118.08
_0824_,117.1
net26,116.58
uc_0._21_\[4\],115.58
net14,114.815
_0688_,114.28
_0185_,113
_0812_,113
_0872_,112.62
_0751_,112.34
net35,111.48
net96,111.06
_0510_,110.92
_0600_,110.655
_0374_,110.475
_0834_,110.24
_0206_,109.94
_0593_,109.21
_0823_,108.1
_0226_,107.4
_0835_,107
_0430_,106.95
_0237_,106.37
_0813_,104.64
_0777_,104.44
_0363_,104.06
net70,103.08
_0585_,102.9
_0504_,102.48
net1,102.4
po_0.muxf_0.rf_w_data\[6\],101.6
uc_0._21_\[6\],101.42
_0776_,101.17
_0851_,100.76
net18,100.68
_0787_,100.62
net43,99.96
_0502_,98.14
_0236_,97.76
_0520_,97.62
_0514_,97.04
_0525_,96.96
po_0.regf_0.rq_rd,96.64
_0658_,96.24
_0841_,96.18
_0216_,95.47
_0217_,95.2
_0383_,93.44
_0843_,93.36
_0845_,93.27
net3,92.08
_0837_,91.48
_0409_,91.22
_0853_,91.1
_0859_,90.78
_0757_,90.24
net86,89.6
_0352_,89.48
_0623_,88.7
_0676_,88.44
_0408_,88
po_0.regf_0._5_\[7\],87.9
po_0.muxf_0.rf_w_data\[0\],87.7
_0427_,87.42
_0196_,87.28
_0758_,86.7
net30,85.34
_0588_,84.98
_0207_,84.66
net22,83.56
_0659_,83.52
net107,82.74
_0393_,82.52
_0860_,82.22
net101,81.26
net80,80.92
_0660_,80.74
_0802_,80.7
_0195_,80.58
_0405_,80.11
_0847_,79.02
_0669_,78.96
_0384_,78.44
_0586_,77.52
_0855_,77.48
_0840_,75.86
_0871_,75.5
net72,75.43
_0364_,74.96
_0394_,74.66
_0745_,74.38
net98,74.18
_0184_,73.36
_0500_,72.78
net37,72.22
_0227_,72.18
_0762_,72.02
net50,71.44
_0373_,71.42
po_0.regf_0._3_\[5\],71.1
net53,70.88
_0869_,70.69
net63,70.2
_0248_,68.64
net90,68.5
net83,68.26
_0634_,68.06
net99,67.62
net65,67.52
_0602_,65.72
_0351_,65.56
_0838_,65.28
po_0.regf_0._5_\[2\],65.18
_0252_,64.94
net87,64.66
net55,64.36
net27,63.74
_0643_,63
net95,62.85
_0583_,62.32
net58,62.28
net92,61.88
po_0.muxf_0.rf_w_data\[7\],61.86
net97,61.44
_0670_,61.4
po_0.regf_0.w_addr\[1\],61.34
_0810_,61.28
net61,61.18
net67,61.15
_0651_,61.12
_0246_,60.5
_0849_,60.49
net75,59.48
_0445_,59.34
_0821_,58.62
_0464_,58.6
net91,58.4
net85,58.18
_0257_,58.14
net71,57.73
net51,57.34
_0584_,57.1
net102,57.08
po_0.regf_0._5_\[3\],56.9
net78,56.82
_0609_,56.24
net68,56.16
po_0._1_\[2\],56.08
net104,55.26
_0488_,55.18
net105,55.09
net69,54.76
_0448_,54.58
_0511_,54.51
_0292_,54.5
_0264_,54.295
net74,54.025
net56,53.96
net103,53.94
_0512_,53.9
_0253_,53.78
net82,53.74
po_0.regf_0._5_\[1\],53.42
net88,53.24
_0450_,52.22
_0748_,51.84
_0249_,51.56
net36,51.42
net6,51.36
net84,51.16
_0627_,50.7
_0753_,50.58
uc_0.bc_0._85_\[1\],49.865
po_0._1_\[4\],49.84
_0006_,48.94
po_0.muxf_0.s1,48.72
_0553_,48.56
net93,48.5
net29,48.44
po_0.regf_0._5_\[0\],48.4
_0683_,48.3
po_0.regf_0.w_addr\[0\],48.3
_0479_,48.165
po_0.regf_0.rf\[13\]\[4\],47.44
net47,46.42
_0472_,46.26
_0622_,46.23
_0324_,46.22
net39,45.88
net89,45.72
_0000_,45.62
_0247_,45.58
_0647_,45.4
_0833_,45.4
_0744_,45.22
_0281_,45.16
net79,45.06
_0675_,44.92
_0557_,44.84
_0478_,44.75
uc_0._01_,44.64
net77,44.14
_0566_,43.9
_0551_,43.66
uc_0.bc_0._12_\[2\],43.4
uc_0._02_,43.3
net59,43.13
_0481_,43.1
_0452_,43.04
_0632_,42.78
po_0.regf_0.w_wr,42.46
_0614_,42.32
net54,41.92
_0797_,41.6
_0555_,41.46
uc_0.bc_0._85_\[3\],41.385
net106,41.04
_0685_,40.98
uc_0._21_\[7\],40.94
_0470_,40.78
net28,40.44
_0546_,40.16
_0561_,40.12
_0599_,40.06
uc_0._21_\[0\],40.04
net100,40.02
_0839_,39.96
_0754_,39.84
_0756_,39.67
_0679_,39.53
_0487_,39
_0536_,38.92
_0250_,38.86
_0524_,38.86
_0752_,38.74
_0639_,38.72
_0667_,38.58
_0489_,38.44
_0002_,38.3
_0618_,38.26
_0279_,38.14
_0763_,38.06
_0266_,37.7
po_0.regf_0._3_\[4\],37.48
_0493_,36.9
_0259_,36.75
_0267_,36.54
_0531_,36.4
_0509_,36.1
_0858_,35.92
_0293_,35.84
_0451_,35.42
_0517_,34.96
_0285_,34.72
_0576_,34.58
_0449_,34.5
net73,34.46
_0261_,34.2
_0480_,34.16
_0482_,34.16
po_0._1_\[1\],34.12
_0607_,33.66
po_0._1_\[5\],33.54
_0655_,33.34
_0785_,33.26
_0542_,33.22
uc_0._21_\[2\],33.14
_0665_,33.02
_0447_,32.98
uc_0.bc_0._12_\[3\],32.98
uc_0.bc_0._12_\[0\],32.95
_0736_,32.4
uc_0.bc_0._85_\[0\],31.945
po_0.regf_0.rf\[1\]\[6\],31.92
_0657_,31.88
uc_0.bc_0._12_\[1\],31.86
po_0.regf_0.rf\[5\]\[1\],31.76
po_0.alu_0._10_\[7\],31.66
net60,31.58
_0572_,31.52
po_0.muxf_0.s0,31.5
_0471_,31.46
net76,31.22
po_0.regf_0.rf\[15\]\[4\],30.98
_0310_,30.94
_0775_,30.78
uc_0.bc_0._14_\[7\],30.52
net32,30.4
_0453_,30.36
uc_0.bc_0._14_\[6\],30.24
_0742_,30.2
po_0.regf_0.rf\[15\]\[6\],30.12
po_0.regf_0.rf\[6\]\[1\],30.09
_0443_,30.06
po_0.regf_0.rf\[8\]\[2\],29.98
po_0.regf_0.rf\[1\]\[4\],29.78
_0740_,29.74
po_0.regf_0.rf\[3\]\[2\],29.72
_0538_,29.58
_0276_,29.56
po_0.regf_0.rf\[4\]\[6\],29.42
_0732_,29.24
_0303_,29.2
_0462_,29.14
_0741_,29.14
po_0.regf_0.rf\[3\]\[3\],28.98
_0255_,28.6
_0704_,28.52
po_0.regf_0.rf\[14\]\[4\],28.515
_0496_,28.42
_0466_,28.36
_0330_,28.24
_0568_,28.24
_0439_,28.22
_0749_,28.14
_0205_,28.06
po_0.regf_0._3_\[2\],28.02
po_0.regf_0.rf\[12\]\[1\],27.74
_0468_,27.645
_0755_,27.56
net66,27.36
_0549_,27.34
uc_0.bc_0._14_\[2\],26.92
po_0.regf_0.rf\[8\]\[0\],26.66
po_0.regf_0.rf\[10\]\[3\],26.65
po_0.regf_0.rf\[15\]\[3\],26.62
po_0.regf_0.rf\[11\]\[2\],26.6
po_0.regf_0.rf\[7\]\[4\],26.58
po_0.regf_0.rf\[1\]\[1\],26.34
po_0.regf_0.rf\[1\]\[5\],26.32
po_0.regf_0.rf\[11\]\[4\],26
po_0.regf_0.rf\[0\]\[5\],25.84
po_0.regf_0.rf\[8\]\[6\],25.82
po_0.regf_0.rf\[5\]\[5\],25.6
po_0.regf_0.rf\[5\]\[6\],25.6
po_0.regf_0.rf\[15\]\[0\],25.44
net17,25.28
po_0.regf_0.rf\[6\]\[3\],25.195
po_0._1_\[0\],25.16
_0830_,25.06
_0492_,24.94
_0743_,24.94
net94,24.94
po_0.regf_0.rf\[2\]\[1\],24.89
_0288_,24.88
po_0.regf_0.rf\[13\]\[5\],24.86
_0793_,24.76
po_0.regf_0.rf\[12\]\[5\],24.64
_0469_,24.595
_0798_,24.56
_0800_,24.56
po_0.regf_0.rf\[0\]\[4\],24.52
po_0.regf_0.rf\[10\]\[2\],24.5
_0194_,24.4
uc_0.bc_0._14_\[3\],24.38
_0269_,24.28
po_0.regf_0._3_\[7\],24.26
po_0.regf_0.rf\[15\]\[1\],24.22
po_0.regf_0.rf\[9\]\[5\],24.22
_0001_,24.2
po_0.regf_0.rf\[5\]\[4\],24.18
po_0.regf_0.rf\[13\]\[2\],24.04
_0708_,24.02
_0100_,23.945
_0725_,23.92
po_0.regf_0._3_\[1\],23.92
po_0._1_\[3\],23.82
uc_0.bc_0._85_\[2\],23.725
_0305_,23.7
po_0.regf_0.rf\[3\]\[5\],23.62
po_0.regf_0.rf\[6\]\[5\],23.6
_0321_,23.52
po_0.regf_0.rf\[13\]\[3\],23.46
po_0.regf_0.rf\[11\]\[0\],23.42
po_0.regf_0.rf\[13\]\[6\],23.42
_0791_,23.34
po_0.regf_0.rf\[4\]\[5\],23.14
po_0.regf_0.rf\[3\]\[1\],23.08
_0486_,22.96
po_0.regf_0.rf\[7\]\[0\],22.92
po_0.regf_0.rf\[15\]\[7\],22.88
po_0.regf_0.rf\[5\]\[7\],22.8
po_0.regf_0.rf\[12\]\[3\],22.78
uc_0.bc_0._14_\[0\],22.66
po_0.regf_0.rf\[2\]\[0\],22.59
po_0.regf_0.rf\[12\]\[4\],22.58
_0467_,22.56
po_0.regf_0.rf\[14\]\[3\],22.555
po_0.regf_0.rf\[8\]\[3\],22.54
po_0.regf_0.rf\[7\]\[5\],22.52
po_0.regf_0.rf\[13\]\[7\],22.32
po_0.regf_0.rf\[3\]\[0\],22.26
_0004_,22.12
_0726_,21.96
_0772_,21.84
po_0.alu_0._10_\[6\],21.82
po_0.regf_0.rf\[7\]\[3\],21.8
po_0.regf_0.rf\[14\]\[6\],21.585
po_0.regf_0.rf\[2\]\[3\],21.32
po_0.regf_0.rf\[13\]\[0\],21.28
po_0.regf_0.rf\[14\]\[1\],21.235
